IP,NAMESERVER,Query time,Msg size
216.239.38.10,ns4.google.com,215msec,87
216.239.34.10,ns2.google.com,5msec,87
216.239.36.10,ns3.google.com,50msec,87
216.239.32.10,ns1.google.com,6msec,87
216.239.34.10,ns2.google.com,4msec,87
216.239.38.10,ns4.google.com,254msec,87
216.239.32.10,ns1.google.com,5msec,87
216.239.36.10,ns3.google.com,49msec,87
106.11.35.26,ns7.taobao.com,803msec,75
106.11.35.25,ns7.taobao.com,530msec,75
140.205.122.36,ns6.taobao.com,3msec,75
140.205.122.35,ns6.taobao.com,4msec,75
140.205.122.33,ns5.taobao.com,3msec,75
140.205.122.34,ns5.taobao.com,3msec,75
198.11.138.245,ns4.taobao.com,240msec,75
198.11.138.249,ns4.taobao.com,245msec,75
112.80.248.64,ns3.baidu.com,422msec,208
220.181.33.31,ns2.baidu.com,263msec,208
202.108.22.220,dns.baidu.com,439msec,208
121.51.160.100,ns2.qq.com,162msec,39
203.205.177.41,ns2.qq.com,345msec,39
123.151.66.78,ns2.qq.com,174msec,39
183.192.201.116,ns3.qq.com,78msec,39
112.60.1.69,ns3.qq.com,81msec,39
125.39.46.125,ns4.qq.com,391msec,39
203.205.221.79,ns4.qq.com,38msec,39
58.144.154.100,ns4.qq.com,642msec,39
157.255.246.101,ns1.qq.com,437msec,39
101.89.19.165,ns1.qq.com,250msec,39
183.3.226.207,ns1.qq.com,256msec,39
111.202.126.2,ns11.sohu.com,359msec,263
101.227.172.66,ns16.sohu.com,240msec,263
106.11.35.26,ns7.taobao.com,451msec,75
106.11.35.25,ns7.taobao.com,438msec,75
140.205.122.36,ns6.taobao.com,3msec,75
140.205.122.35,ns6.taobao.com,3msec,75
140.205.122.33,ns5.taobao.com,3msec,75
140.205.122.34,ns5.taobao.com,4msec,75
198.11.138.245,ns4.taobao.com,197msec,75
198.11.138.249,ns4.taobao.com,237msec,75
69.171.255.12,b.ns.facebook.com,4msec,167
69.171.239.12,a.ns.facebook.com,14msec,167
login.tmall.com.danuoyi.tbcache.com.,login.tmall.com,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,491msec,121
203.84.221.53,ns3.yahoo.com,,
119.160.253.83,ns5.yahoo.com,50msec,307
68.142.255.16,ns2.yahoo.com,4msec,307
68.180.131.16,ns1.yahoo.com,4msec,307
98.138.11.157,ns4.yahoo.com,277msec,307
42.236.105.6,dns8.360safe.com,333msec,271
104.192.109.6,dns9.360safe.com,232msec,271
36.110.213.6,dns2.360safe.com,223msec,271
111.206.53.6,dns1.360safe.com,488msec,271
180.153.228.6,dns3.360safe.com,239msec,271
180.97.61.6,dns7.360safe.com,136msec,271
204.74.108.1,pdns1.ultradns.net,4msec,394
208.78.70.31,ns1.p31.dynect.net,12msec,240
208.78.71.31,ns3.p31.dynect.net,17msec,240
204.74.115.1,pdns6.ultradns.co.uk,18msec,394
204.13.251.31,ns4.p31.dynect.net,9msec,212
204.13.250.31,ns2.p31.dynect.net,19msec,212
121.14.1.22,ns4.sina.com.cn,,
123.125.29.99,ns3.sina.com.cn,404msec,176
36.51.252.8,ns1.sina.com.cn,464msec,176
180.149.138.199,ns2.sina.com.cn,257msec,176
180.149.138.199,ns2.sina.com.cn,190msec,176
36.51.252.8,ns1.sina.com.cn,415msec,176
123.125.29.99,ns3.sina.com.cn,444msec,176
121.14.1.22,ns4.sina.com.cn,172msec,176
pages.tmall.com.danuoyi.alicdn.com.,pages.tmall.com,,
danuoyinewns1.gds.alicdn.com.,danuoyi.alicdn.com,4msec,126
193.221.113.53,ns3.msft.net,38msec,85
208.76.45.53,ns4.msft.net,5msec,85
208.84.0.53,ns1.msft.net,41msec,85
208.84.2.53,ns2.msft.net,4msec,85
1372.awsdns,n,,
1984.awsdns,n,,
659.awsdns,n,,
81.awsdns,n,,
95.213.21.21,ns2.vkontakte.ru,224msec,289
93.186.238.238,ns3.vkontakte.ru,260msec,289
87.240.136.136,ns4.vkontakte.ru,256msec,289
87.240.131.131,ns1.vkontakte.ru,255msec,289
1029.awsdns,n,,
1887.awsdns,n,,
378.awsdns,n,,
557.awsdns,n,,
110.75.240.29,ns1.alipay.com,498msec,207
45.113.40.61,ns1.alipay.com,475msec,207
216.239.34.10,ns2.google.com,5msec,87
216.239.36.10,ns3.google.com,50msec,87
216.239.38.10,ns4.google.com,192msec,87
216.239.32.10,ns1.google.com,4msec,87
204.azure,ns,,
204.azure,ns,,
204.azure,ns,,
204.azure,ns,,
118.151.254.149,ns02.yahoo.co.jp,75msec,180
124.83.255.101,ns12.yahoo.co.jp,74msec,180
170.33.24.74,vip4.alidns.com,4msec,44
140.205.1.6,vip4.alidns.com,3msec,44
14.1.112.22,vip4.alidns.com,50msec,44
170.33.23.14,vip4.alidns.com,255msec,44
170.33.24.73,vip3.alidns.com,3msec,44
140.205.1.5,vip3.alidns.com,6msec,44
14.1.112.21,vip3.alidns.com,36msec,44
170.33.23.13,vip3.alidns.com,286msec,44
216.239.32.10,ns1.google.com,5msec,87
216.239.34.10,ns2.google.com,5msec,87
216.239.38.10,ns4.google.com,239msec,87
216.239.36.10,ns3.google.com,50msec,87
209.112.114.33,a2.verisigndns.com,73msec,976
208.78.70.18,ns1.p18.dynect.net,4msec,240
69.36.145.33,a3.verisigndns.com,42msec,976
204.13.250.18,ns2.p18.dynect.net,6msec,212
209.112.113.33,a1.verisigndns.com,44msec,976
180.149.156.12,ns1.sogou.com,202msec,149
202.80.220.58,ns3.okezone.com,22msec,210
1349.awsdns,n,,
2016.awsdns,n,,
384.awsdns,n,,
868.awsdns,n,,
125.208.47.1,ns3.cdns.cn,142msec,194
125.208.45.1,ns1.cdns.cn,295msec,194
125.208.46.1,ns2.cdns.cn,34msec,194
204.13.251.47,ns4.p47.dynect.net,4msec,212
208.78.71.47,ns3.p47.dynect.net,5msec,240
204.13.250.47,ns2.p47.dynect.net,5msec,212
208.78.70.47,ns1.p47.dynect.net,18msec,240
198.51.45.6,dns2.p06.nsone.net,39msec,110
198.51.44.70,dns3.p06.nsone.net,39msec,110
198.51.44.6,dns1.p06.nsone.net,39msec,110
198.51.45.70,dns4.p06.nsone.net,41msec,110
109.71.160.1,ns1.dditservices.com,210msec,113
109.71.161.1,ns2.dditservices.com,3msec,113
198.51.44.3,dns1.p03.nsone.net,38msec,110
198.51.45.3,dns2.p03.nsone.net,41msec,110
198.51.44.67,dns3.p03.nsone.net,38msec,110
198.51.45.67,dns4.p03.nsone.net,40msec,110
156.154.142.3,sdns3.ultradns.biz,73msec,394
156.154.140.3,sdns3.ultradns.com,5msec,394
156.154.141.3,sdns3.ultradns.net,4msec,394
156.154.143.3,sdns3.ultradns.org,18msec,394
205.251.192.179,a.r06.twtrdns.net,191msec,35
205.251.196.198,b.r06.twtrdns.net,3msec,35
205.251.194.151,c.r06.twtrdns.net,289msec,35
205.251.199.195,d.r06.twtrdns.net,3msec,35
01.ns.twtrdns.net.,d0,,
02.ns.twtrdns.net.,d0,,
208.78.70.34,ns1.p34.dynect.net,6msec,240
204.13.250.34,ns2.p34.dynect.net,4msec,212
208.78.71.34,ns3.p34.dynect.net,4msec,240
204.13.251.34,ns4.p34.dynect.net,4msec,212
52.77.238.92,ns1.dnsv5.com,5msec,256
61.151.180.51,ns1.dnsv5.com,,
58.251.86.12,ns1.dnsv5.com,463msec,256
14.215.150.16,ns1.dnsv5.com,244msec,256
59.36.120.148,ns1.dnsv5.com,231msec,256
18.194.2.137,ns1.dnsv5.com,236msec,256
223.166.151.16,ns1.dnsv5.com,,
117.135.170.109,ns1.dnsv5.com,260msec,256
162.14.18.188,ns1.dnsv5.com,4msec,256
182.140.167.191,ns1.dnsv5.com,,
18.235.54.99,ns2.dnsv5.com,300msec,272
162.14.18.121,ns2.dnsv5.com,4msec,272
182.254.20.44,ns2.dnsv5.com,194msec,272
14.215.150.13,ns2.dnsv5.com,,
180.163.19.12,ns2.dnsv5.com,,
101.226.220.12,ns2.dnsv5.com,,
61.151.180.52,ns2.dnsv5.com,,
59.36.120.147,ns2.dnsv5.com,226msec,272
52.198.159.146,ns2.dnsv5.com,77msec,272
125.39.213.166,ns2.dnsv5.com,433msec,272
223.166.151.126,ns2.dnsv5.com,,
193.221.113.53,ns3.msft.net,39msec,85
208.76.45.53,ns4.msft.net,3msec,85
208.84.0.53,ns1.msft.net,39msec,85
208.84.2.53,ns2.msft.net,3msec,85
216.239.38.10,ns4.google.com,195msec,87
216.239.32.10,ns1.google.com,4msec,87
216.239.36.10,ns3.google.com,50msec,87
216.239.34.10,ns2.google.com,5msec,87
140.205.67.254,ns2.alibabadns.com,583msec,79
106.11.35.18,ns2.alibabadns.com,462msec,79
140.205.122.66,ns1.alibabadns.com,3msec,79
198.11.138.254,ns1.alibabadns.com,284msec,79
199.7.69.1,pdns4.ultradns.org,4msec,394
204.74.114.1,pdns5.ultradns.info,88msec,394
204.13.251.31,ns4.p31.dynect.net,10msec,212
208.78.70.31,ns1.p31.dynect.net,51msec,240
208.78.71.31,ns3.p31.dynect.net,17msec,240
199.7.68.1,pdns3.ultradns.org,205msec,394
204.74.108.1,pdns1.ultradns.net,5msec,394
204.13.250.31,ns2.p31.dynect.net,5msec,212
204.74.109.1,pdns2.ultradns.net,4msec,394
204.74.115.1,pdns6.ultradns.co.uk,25msec,394
93.158.134.1,ns2.yandex.ru,305msec,86
80.239.201.9,ns9.z5h64q92x9.net,247msec,135
154.47.36.189,ns9.z5h64q92x9.net,360msec,135
213.180.193.1,ns1.yandex.ru,270msec,86
208.78.70.16,ns1.p16.dynect.net,24msec,240
204.13.251.16,ns4.p16.dynect.net,4msec,212
204.13.250.16,ns2.p16.dynect.net,4msec,212
208.78.71.16,ns3.p16.dynect.net,30msec,240
421.awsdns,n,,
1283.awsdns,n,,
520.awsdns,n,,
1707.awsdns,n,,
124.225.214.10,ns3.tianya.cn,179msec,174
221.182.218.10,ns4.tianya.cn,233msec,174
199.7.68.1,PDNS3.ultradns.org,247msec,400
204.74.109.1,PDNS2.ultradns.net,4msec,400
204.13.251.31,ns4.p31.dynect.net,4msec,212
204.74.114.1,pdns5.ultradns.info,45msec,394
204.74.108.1,PDNS1.ultradns.net,4msec,400
204.74.115.1,pdns6.ultradns.co.uk,12msec,394
199.7.69.1,pdns4.ultradns.org,4msec,394
204.13.250.31,ns2.p31.dynect.net,5msec,212
208.78.71.31,ns3.p31.dynect.net,7msec,240
208.78.70.31,ns1.p31.dynect.net,11msec,240
103.11.75.3,dns4.masterweb.net,17msec,52
180.240.134.121,dns2.masterweb.net,4msec,52
202.108.22.220,dns.baidu.com,402msec,208
220.181.33.31,ns2.baidu.com,195msec,208
202.108.22.220,ns1.baidu.com,417msec,228
112.80.248.64,ns3.baidu.com,314msec,208
125.209.248.6,ns1.naver.com,4msec,58
125.209.249.6,ns2.naver.com,74msec,58
208.84.0.53,ns1.msft.net,37msec,85
208.84.2.53,ns2.msft.net,4msec,85
193.221.113.53,ns3.msft.net,37msec,85
208.76.45.53,ns4.msft.net,4msec,85
1033.awsdns,n,,
358.awsdns,n,,
cloud,n,,
cloud,n,,
42.236.105.6,dns8.360safe.com,362msec,271
104.192.109.6,dns9.360safe.com,243msec,271
36.110.213.6,dns2.360safe.com,229msec,271
111.206.53.6,dns1.360safe.com,383msec,271
180.153.228.6,dns3.360safe.com,201msec,271
180.97.61.6,dns7.360safe.com,100msec,271
17.253.207.1,b.ns.apple.com,5msec,59
204.19.119.1,c.ns.apple.com,83msec,59
185.30.176.202,ns3.mail.ru,344msec,222
