ID,DOMAIN_NAME,IP,NAMESERVER,Ping RTT,Query time,Msg size
1,sawmill.net,205.251.194.53,ns-565.awsdns-06.net,33.623,31msec,288
2,sawmill.net,205.251.198.113,ns-1649.awsdns-14.co.uk,21.445,22msec,288
3,sawmill.net,205.251.192.20,ns-20.awsdns-02.com,21.067,21msec,288
4,sawmill.net,205.251.196.87,ns-1111.awsdns-10.org,7.810,8msec,288
5,seohyun.or.kr,211.169.73.4,ns.church-love.com,,292msec,361
6,tubetraffic.in,209.222.108.130,ns2.tubetraffic.in,107.844,107msec,400
7,tubetraffic.in,209.222.108.130,ns1.tubetraffic.in,108.063,107msec,400
8,won.pe,152.66.246.10,N,0.650,0msec,178
9,won.pe,152.66.246.10,N,0.574,1msec,178
10,wowmk.com,216.239.38.100,ns11.wixdns.net,20.965,21msec,417
11,wowmk.com,216.239.36.100,ns10.wixdns.net,38.170,38msec,417
12,zlshorte.net,173.245.59.210,ned.ns.cloudflare.com,0.852,1msec,62
13,zlshorte.net,173.245.58.86,cloe.ns.cloudflare.com,0.886,2msec,62
14,movsplus.com,216.87.152.33,dns2.namecheaphosting.com,14.538,15msec,207
15,movsplus.com,216.87.155.33,dns1.namecheaphosting.com,21.674,22msec,207
16,crmp.su,176.111.63.45,ns3.thehost.com.ua,22.771,24msec,404
17,crmp.su,46.4.57.177,ns2.thehost.com.ua,19.077,20msec,404
18,crmp.su,91.223.180.14,ns1.thehost.com.ua,24.698,25msec,404
19,crmp.su,192.162.240.116,ns4.thehost.com.ua,61.563,65msec,404
20,dataworld.info,31.28.20.108,ns11.hoster.ru,49.496,49msec,295
21,dataworld.info,195.128.50.221,ns10.hoster.ru,46.344,47msec,267
22,jbvmov.xyz,109.201.133.111,ns31.cloudns.net,26.484,26msec,264
23,jbvmov.xyz,185.136.99.66,pns34.cloudns.net,15.241,15msec,264
24,jbvmov.xyz,185.206.180.104,ns34.cloudns.net,14.919,16msec,264
25,jbvmov.xyz,185.136.96.66,pns31.cloudns.net,15.244,15msec,264
26,jbvmov.xyz,185.136.97.66,pns32.cloudns.net,15.278,15msec,264
27,jbvmov.xyz,209.58.140.85,ns32.cloudns.net,167.620,169msec,264
28,jbvmov.xyz,185.136.98.66,pns33.cloudns.net,15.233,15msec,264
29,jbvmov.xyz,54.36.26.145,ns33.cloudns.net,25.245,25msec,264
30,kakpishu.ru,82.146.43.2,ns1.firstvds.ru,41.949,42msec,293
31,kakpishu.ru,94.250.248.160,ns2.firstvds.ru,42.058,42msec,293
32,kistv.ru,185.50.27.12,ns2.beget.com,,51msec,272
33,kistv.ru,5.101.159.11,ns1.beget.com,,51msec,272
34,kistv.ru,5.101.159.11,ns1.beget.pro,,51msec,272
35,kistv.ru,185.50.27.12,ns2.beget.ru,,51msec,272
36,kistv.ru,185.50.27.12,ns2.beget.pro,,49msec,272
37,kistv.ru,5.101.159.11,ns1.beget.ru,,49msec,272
38,kodik.online,185.136.97.77,dns2.cloudns.net,15.371,15msec,225
39,kodik.online,185.136.98.77,dns5.cloudns.net,15.400,15msec,225
40,kodik.online,185.136.99.77,dns6.cloudns.net,15.198,15msec,225
41,kodik.online,185.136.96.77,dns1.cloudns.net,15.220,15msec,225
42,signorina.ru,217.16.27.205,ns2.nameself.com,34.779,37msec,244
43,signorina.ru,88.212.207.45,ns1.nameself.com,34.631,38msec,244
44,siteclinic.ru,194.58.117.11,ns1.reg.ru,47.082,45msec,562
45,siteclinic.ru,194.58.117.14,ns2.reg.ru,43.607,48msec,261
