IP,NAMESERVER,Query time,Msg size,Actual Frequency [%],Max msg size,min msg size,avg msg size
156.154.64.17,ns3.bbc.net.uk,4msec,32,8.72067672451382E-05,3592,32,174.328246271911
156.154.65.17,ns4.bbc.net.uk,4msec,32,0.00017441353449,,,
156.154.64.17,ns3.bbc.net.uk,5msec,32,0.000261620301735,,,
156.154.65.17,ns4.bbc.net.uk,4msec,32,0.000348827068981,,,
205.251.192.138,dodo.ezoicns.com,221msec,34,0.000436033836226,,,
205.251.197.23,kiwi.ezoicns.com,4msec,34,0.000523240603471,,,
205.251.194.239,wolf.ezoicns.com,239msec,34,0.000610447370716,,,
205.251.192.179,a.r06.twtrdns.net,191msec,35,0.000697654137961,,,
205.251.196.198,b.r06.twtrdns.net,3msec,35,0.000784860905206,,,
205.251.194.151,c.r06.twtrdns.net,289msec,35,0.000872067672451,,,
205.251.199.195,d.r06.twtrdns.net,3msec,35,0.000959274439697,,,
205.251.199.195,d.r06.twtrdns.net,5msec,35,0.001046481206942,,,
205.251.192.179,a.r06.twtrdns.net,203msec,35,0.001133687974187,,,
205.251.194.151,c.r06.twtrdns.net,333msec,35,0.001220894741432,,,
205.251.196.198,b.r06.twtrdns.net,4msec,35,0.001308101508677,,,
205.251.192.179,a.r06.twtrdns.net,251msec,35,0.001395308275922,,,
205.251.196.198,b.r06.twtrdns.net,3msec,35,0.001482515043167,,,
205.251.194.151,c.r06.twtrdns.net,273msec,35,0.001569721810412,,,
205.251.199.195,d.r06.twtrdns.net,4msec,35,0.001656928577658,,,
teatr.com.,ns1.kin,305msec,36,0.001744135344903,,,
guard.net.,ns6.ddo,305msec,36,0.001831342112148,,,
guard.net.,ns1.ddo,350msec,36,0.001918548879393,,,
guard.net.,ns2.ddo,333msec,36,0.002005755646638,,,
guard.net.,ns5.ddo,330msec,36,0.002092962413883,,,
guard.net.,ns4.ddo,322msec,36,0.002180169181128,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,478msec,37,0.002267375948374,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,519msec,37,0.002354582715619,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,454msec,37,0.002441789482864,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,399msec,37,0.002528996250109,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,358msec,37,0.002616203017354,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,388msec,37,0.002703409784599,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,494msec,37,0.002790616551844,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,487msec,37,0.00287782331909,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,428msec,37,0.002965030086335,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,371msec,37,0.00305223685358,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,458msec,37,0.003139443620825,,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,499msec,37,0.00322665038807,,,
